"","price_per_sqmt","facing_direction","floor_level","decoration"
"808",25208,"South","middle","other"
"809",30183,"South","middle","other"
"810",26403,"South","high","other"
"811",27171,"South","low","other"
"812",57579,"South","top","simple"
"813",64066,"South","middle","refined"
"814",62415,"South","top","simple"
"815",59393,"South","middle","simple"
"816",63493,"South","middle","simple"
"817",59758,"South","first","refined"
"818",73598,"South","middle","refined"
"819",69067,"South","middle","refined"
"820",79778,"North","middle","refined"
"821",72390,"South","middle","simple"
"822",65030,"South","middle","refined"
"823",74814,"South","middle","simple"
"824",64986,"South","top","simple"
"825",65859,"South","first","simple"
"826",64281,"South","top","refined"
"827",52885,"North","middle","simple"
"828",55354,"South","low","simple"
"829",54442,"South","middle","simple"
"830",49223,"South","first","refined"
"831",48896,"South","middle","simple"
"832",46721,"South","top","refined"
"833",36776,"South","top","other"
"834",42525,"South","high","refined"
"835",39852,"South","middle","simple"
"836",40840,"South","middle","refined"
"837",34755,"South","high","refined"
"838",35473,"South","top","simple"
"839",40475,"South","middle","other"
"840",50106,"South","first","refined"
"841",31506,"South","first","simple"
"842",35136,"South","top","refined"
"843",40772,"South","middle","simple"
"844",28969,"South","high","simple"
"845",30797,"South","middle","refined"
"846",35914,"South","middle","other"
"847",44445,"South","middle","other"
"848",39804,"South","low","other"
"849",36253,"South","middle","other"
"850",42010,"South","middle","other"
"851",40019,"South","high","other"
"852",35142,"South","high","other"
"853",25788,"South","high","other"
"854",25946,"South","high","other"
"855",21168,"South","middle","other"
"856",76471,"South","middle","refined"
"857",69053,"South","low","simple"
"858",69359,"South","high","simple"
"859",65057,"South","middle","refined"
"860",67194,"South","high","refined"
"861",65637,"South","high","simple"
"862",66099,"South","middle","simple"
"863",63480,"South","top","simple"
"864",67403,"South","middle","simple"
"865",66456,"South","low","refined"
"866",53449,"South","top","simple"
"867",61177,"South","high","simple"
"868",61177,"South","low","refined"
"869",38648,"South","top","other"
"870",41876,"South","high","refined"
"871",42164,"South","middle","refined"
"872",42019,"South","low","simple"
"873",33731,"South","middle","simple"
"874",32899,"South","top","simple"
"875",43295,"South","middle","other"
"876",45177,"South","high","other"
"877",40778,"South","high","other"
"878",36709,"South","low","other"
"879",35588,"South","top","other"
"880",36627,"South","middle","other"
"881",32938,"South","middle","other"
"882",31035,"South","high","other"
"883",36624,"South","first","other"
"884",26113,"South","top","other"
"885",21806,"South","middle","other"
"886",89529,"South","middle","refined"
"887",94795,"South","high","refined"
"888",91526,"South","middle","refined"
"889",75950,"South","low","refined"
"890",77232,"South","high","refined"
"891",68820,"South","low","refined"
"892",91376,"South","low","simple"
"893",74286,"South","low","refined"
"894",80143,"South","middle","refined"
"895",74200,"South","high","refined"
"896",74610,"South","middle","other"
"897",76689,"South","high","other"
"898",78034,"South","low","refined"
"899",75729,"South","middle","refined"
