price_per_sqmt,facing_direction,floor_level,decoration
72200.0,South,first,other
68048.0,South,high,refined
75111.0,South,high,refined
72261.0,South,high,other
71259.0,South,middle,other
70759.0,South,low,other
83185.0,South,low,other
69197.0,South,high,refined
69890.0,South,high,simple
75812.0,South,top,refined
71112.0,South,middle,simple
66832.0,South,low,simple
73873.0,South,middle,refined
70502.0,East/West,high,refined
70247.0,South,low,refined
67658.0,South,low,refined
89429.0,South,middle,refined
82639.0,South,middle,refined
85876.0,South,low,refined
65762.0,South,middle,simple
64913.0,South,NA,NA
79919.0,South,middle,refined
73270.0,East/West,middle,refined
76907.0,South,middle,other
19867.0,East/West,basement,other
84690.0,South,low,refined
83211.0,South,middle,other
93119.0,South,first,refined
22500.0,South,basement,refined
78334.0,South,high,refined
89339.0,South,middle,refined
90476.0,South,middle,refined
22589.0,South,basement,refined
89165.0,South,middle,refined
84689.0,South,first,refined
87066.0,South,middle,refined
81014.0,South,middle,refined
75064.0,South,middle,refined
14340.0,North,basement,other
86996.0,South,low,refined
73462.0,South,high,refined
22413.0,South,basement,refined
63830.0,South,high,refined
70165.0,South,high,refined
82955.0,South,high,refined
68476.0,South,middle,refined
68449.0,South,high,refined
73890.0,South,top,refined
72112.0,South,first,refined
68580.0,South,middle,refined
67500.0,South,middle,refined
62889.0,South,low,refined
61766.0,South,middle,refined
54529.0,South,top,refined
59287.0,South,high,simple
62918.0,South,low,refined
58425.0,South,high,refined
58984.0,South,high,refined
52385.0,South,middle,other
58678.0,South,high,refined
54898.0,South,middle,refined
57589.0,South,high,refined
11979.0,South,basement,simple
15998.0,South,basement,other
55271.0,South,low,other
47166.0,South,top,bare
51249.0,South,low,refined
46670.0,South,low,bare
40489.0,South,first,bare
46597.0,South,top,refined
53764.0,South,high,refined
46277.0,South,high,simple
46099.0,South,first,other
45168.0,South,first,simple
45705.0,South,low,refined
44603.0,South,middle,refined
43236.0,South,high,simple
42902.0,South,middle,other
42474.0,South,middle,refined
44208.0,South,high,refined
45992.0,South,middle,other
46501.0,South,middle,refined
38084.0,South,high,refined
37734.0,South,low,refined
36547.0,South,middle,bare
38138.0,South,middle,simple
42017.0,South,high,refined
12817.0,South,basement,refined
32252.0,South,low,simple
36990.0,South,middle,other
36617.0,North,low,refined
35368.0,South,low,refined
35502.0,South,middle,simple
38346.0,South,low,simple
33660.0,South,middle,refined
40000.0,South,low,other
35814.0,South,high,other
45465.0,South,middle,refined
38267.0,South,middle,other
32942.0,South,low,refined
47471.0,South,first,other
15154.0,South,basement,other
37734.0,South,middle,other
35900.0,South,high,other
38044.0,South,middle,other
36338.0,South,low,other
38993.0,South,high,other
35168.0,South,top,other
26045.0,South,middle,other
27000.0,South,low,other
23584.0,South,high,other
20663.0,South,high,other
68029.0,South,middle,bare
57405.0,South,middle,simple
66725.0,South,middle,simple
67596.0,South,middle,refined
61149.0,South,top,simple
67248.0,South,high,other
81515.0,South,first,refined
73290.0,South,middle,simple
66613.0,South,top,refined
68323.0,South,top,simple
67074.0,South,low,simple
68191.0,South,high,refined
52525.0,South,middle,simple
61628.0,South,middle,simple
45994.0,South,top,refined
44217.0,South,low,bare
41431.0,South,top,simple
34776.0,South,middle,bare
32737.0,South,middle,simple
32946.0,South,middle,simple
30945.0,South,top,refined
32753.0,South,middle,other
34844.0,South,middle,simple
33973.0,South,middle,simple
30783.0,South,middle,simple
31359.0,South,top,refined
38328.0,South,middle,other
44777.0,South,first,other
39640.0,South,first,other
69275.0,South,low,simple
68461.0,South,low,refined
61158.0,South,high,refined
64552.0,South,low,refined
51638.0,South,first,refined
59243.0,South,high,refined
59030.0,South,middle,simple
65392.0,South,top,other
63569.0,South,high,simple
61901.0,South,middle,refined
57500.0,South,low,simple
48371.0,South,high,simple
66791.0,South,high,simple
61232.0,East/West,middle,simple
58094.0,South,middle,simple
59429.0,South,NA,NA
53293.0,North,NA,NA
64243.0,South,middle,simple
49940.0,North,NA,NA
58588.0,South,middle,refined
57609.0,South,NA,NA
57952.0,South,middle,refined
81871.0,South,NA,NA
70080.0,South,NA,NA
62935.0,North,middle,simple
64380.0,South,NA,NA
68071.0,South,middle,simple
76022.0,South,NA,NA
74061.0,South,low,simple
50971.0,East/West,NA,NA
67935.0,South,middle,refined
67252.0,South,high,refined
51857.0,South,high,simple
49769.0,South,middle,refined
65488.0,South,middle,bare
59661.0,South,top,refined
54492.0,North,middle,refined
49422.0,South,low,simple
42858.0,South,high,refined
39530.0,South,low,simple
57643.0,South,low,refined
46644.0,North,middle,simple
45487.0,North,top,refined
41080.0,South,high,refined
40463.0,South,middle,simple
45969.0,South,low,other
39981.0,South,middle,simple
41213.0,South,first,simple
44445.0,South,high,refined
38637.0,South,low,refined
34018.0,South,high,refined
32512.0,South,low,other
37200.0,South,high,refined
42367.0,South,high,simple
11696.0,South,low,simple
38406.0,South,low,other
43130.0,South,middle,simple
33876.0,South,first,refined
37879.0,South,low,refined
34524.0,South,low,refined
35907.0,South,middle,simple
34352.0,South,top,simple
28421.0,South,low,simple
25428.0,South,low,other
29108.0,South,high,other
32512.0,South,low,refined
30189.0,South,low,simple
27939.0,South,top,other
33970.0,South,low,refined
35152.0,South,middle,simple
